,Tokens
549,"['vancouver', 'london', 'time', 'british', 'airways', 'deserve', 'ranked', 'one', 'best', 'carriers', 'flight', 'proves', 'point', 'warm', 'welcome', 'door', 'boarding', 'deplaning', 'lhr', 'crew', 'outstanding', 'friendly', 'attentive', 'professional', 'dinner', 'excellent', 'excellent', 'choices', 'menu', 'accompanied', 'decent', 'wines', 'painful', 'back', 'running', 'flight', 'attendant', 'provided', 'medication', 'came', 'back', 'seat', 'hour', 'later', 'check', 'remembered', 'ask', 'pain', 'subsided', 'deplaned', 'thoughtful', 'seat', 'comfortable', 'complemented', 'proper', 'cushion', 'nice', 'quilted', 'blanket', 'ife', 'good', 'b', 'showing', 'age', 'it', '’', 's', 'still', 'wonderful', 'iconic', 'aircraft', 'fly', 'i', '’', 'll', 'continue', 'prefer', 'b']"
550,"['flying', 'london', 'seattle', 'business', 'class', 'may', 'british', 'airways', 'wants', 'around', '£', 'way', 'choose', 'seats', 'airlines', 'encountered', 'allow', 'business', 'class', 'passengers', 'choose', 'seats', 'additional', 'cost', 'decided', 'change', 'seat', 'operational', 'reasonss', 'could', 'reason', 'plane', 'ba', 'takes', '£', 'choose', 'seat', 'changes', 'seat', 'without', 'asking', 'get', 'automated', 'message', 'next', 'time', 'log', 'ba', 'website', 'tell', 'number', 'ring', 'minutes', 'waiting', 'phone', 'answered', 'give']"
551,"['london', 'heathrow', 'nairobi', 'ba', 'first', 'much', 'weaker', 'middle', 'eastern', 'asian', 'airlines', 'despair', 'brightest', 'spot', 'trip', 'able', 'use', 'cx', 'lounge', 'heathrow', 't', 'cram', 'firstclass', 'seats', 'onto', 'quite', 'achievement', 'food', 'standout', 'problem', 'board', 'poor', 'shameful', 'flagcarrier', 'represents', 'britain', 'badly', 'regards', 'conversely', 'flight', 'attendants', 'excellent', 'directions', 'flew', 'first', 'bas', 'business', 'class', 'poor', 'never']"
552,"['dubai', 'london', 'husband', 'traveled', 'together', 'got', 'business', 'class', 'ticket', 'last', 'minute', 'addon', 'premium', 'economy', 'instead', 'boarded', 'husband', 'came', 'give', 'pillow', 'got', 'settled', 'started', 'sleeping', 'woken', 'flight', 'attendant', 'grabbed', 'pillow', 'husband', 'gave', 'saying', 'lady', 'business', 'class', 'missing', 'pillow', 'take', 'pillow', 'told', 'didn', '’', 't', 'pillow', 'given', 'stood', 'told', 'wasn', '’', 't', 'ok', 'accuse', 'stealing', 'pillow', 'i', '’', 'll', 'show', 'husband', 'gave', 'pillow', 'located', 'husband', 'business', 'class', 'apparently', 'seat', 'extra', 'pillow', 'gave', 'extra', 'one', 'offered', 'give', 'pillow', 'flight', 'attendant', 'said', 'need', 'could', 'keep']"
553,"['london', 'cape', 'town', 'gone', 'days', 'british', 'airways', 'great', 'airline', 'weird', 'seat', 'configuration', 'service', 'needs', 'training', 'horrible', 'food', 'internet', 'business', 'class', 'basic', 'services', 'offered', 'airlines', 'ba']"
554,"['verified', 'rio', 'de', 'janeiro', 'london', 'economy', 'packed', 'seating', 'awful', 'food', 'narrow', 'seats', 'uncomfortable', 'expensive', 'add', 'ons', 'seat', 'choice', 'luggage', 'try', 'match', 'norwegian', 'pricing', 'rio', 'route', 'ife', 'iffy', 'back', 'legs', 'terrible', 'days', 'paid', '£', 'exit', 'seat', 'breakfast', 'served', 'unfit', 'took', 'drinks', 'food', 'items', 'long', 'haul', 'getting', 'short', 'come', 'prepared']"
555,"['johannesburg', 'dublin', 'via', 'london', 'get', 'counter', 'require', 'transit', 'visa', 'since', 'terminal', 'even', 'support', 'guidance', 'remorse', 'staff', 'also', 'non', 'refundable', 'hotel', 'booking', 'dublin', 'ba', 'need', 'communicate', 'changes']"
556,"['las', 'vegas', 'paris', 'via', 'london', 'staff', 'great', 'uncomfortable', 'flight', 'business', 'class', 'i', '’', 've', 'experienced', 'aisle', 'seat', 'felt', 'like', 'sitting', 'aisle', 'business', 'class', 'configuration', 'that', '’', 's', 'tight', 'squeeze', 'andthere', 'backward', 'facing', 'seats', 'seats', 'uncomfortable', 'many', 'things', 'wrong', 'configuration', 'glad', 'didn', '’', 't', 'pay', 'full', 'price', 'flight']"
557,"['ba', 'cancelled', 'return', 'flight', 'feb', 'geneva', 'gatwick', 'due', 'storm', 'ciara', 'rebooked', 'onto', 'later', 'flight', 'cancelled', 'well', 'since', 'heard', 'nothing', 'left', 'buy', 'new', 'return', 'flight', 'ive', 'tried', 'calling', 'several', 'times', 'every', 'day', 'answering', 'phones', 'claiming', 'busy', 'talk', 'customers', 'cancelled', 'flight', 'want', 'refund', 'far', 'way', 'getting']"
558,"['mexico', 'city', 'manchester', 'via', 'london', 'plane', 'mexico', 'city', 'london', 'smooth', 'entertainment', 'quite', 'nice', 'food', 'although', 'chose', 'window', 'seat', 'never', 'informed', 'wasnt', 'actually', 'window', 'wall', 'crew', 'amazingly', 'kind', 'lovely', 'theyre', 'always', 'checking', 'even', 'got', 'magnum', 'loved', 'airline', 'first', 'flight', 'ever']"
559,"['london', 'heathrow', 'sofia', 'good', 'experience', 'onboard', 'one', 'bas', 'recently', 'refreshed', 'a', 'cabins', 'although', 'unfortunately', 'without', 'inseat', 'power', 'supply', 'contrary', 'stated', 'website', 'aircraft', 'types', 'due', 'get', 'inseat', 'power', 'following', 'refresh', 'another', 'thing', 'add', 'list', 'inconsistencies', 'ba', 'product', 'however', 'flight', 'overall', 'good', 'usual', 'extremely', 'efficient', 'preflight', 'experience', 'heathrows', 'excellent', 't', 'fast', 'track', 'security', 'fast', 'expected', 'galleries', 'club', 'lounge', 'pretty', 'good', 'crowded', 'boarding', 'smooth', 'priority', 'boarding', 'honoured', 'usual', 'crew', 'excellent', 'provided', 'attentive', 'service', 'plently', 'drinks', 'runs', 'given', 'slightly', 'longer', 'distance', 'flight', 'food', 'pretty', 'good', 'shorthaul', 'business', 'class', 'offering', 'found', 'seats', 'pretty', 'comfortable', 'legroom', 'reasonable', 'ft', 'chap', 'overall', 'good', 'experience', 'major', 'complaints']"
560,"['fly', 'melbourne', 'manchester', 'via', 'london', 'singapore', 'july', 'arriving', 'late', 'board', 'heathrow', 'flight', 'checkinstaff', 'discussed', 'dilemma', 'supervisor', 'option', 'find', 'way', 'heathrow', 'somehow', 'managed', 'get', 'heathrow', 'time', 'singapore', 'melbourne', 'boarding', 'pass', 'issued', 'told', 'manchester', 'heathrow', 'flight', 'missed', 'heathrow', 'singapore', 'cancelled']"
561,"['madrid', 'london', 'keep', 'giving', 'ba', 'benefit', 'doubt', 'things', 'getting', 'worse', 'better', 'a', 'cramped', 'business', 'class', 'seats', 'middle', 'table', 'frankly', 'pathetic', 'premium', 'cabin', 'despite', 'every', 'statement', 'make', 'catering', 'improvements', 'simply', 'refer', 'meal', 'photos', 'route', 'see', 'severely', 'cut', 'back', 'meal', 'portions', 'cost', 'iberia', 'staff', 'madrid', 'nice', 'cabin', 'staff', 'okay', 'overall', 'club', 'europe', 'worth', 'money', 'dont', 'waste', 'money']"
562,"['prague', 'london', 'first', 'time', 'flown', 'british', 'airways', 'flight', 'departed', 'earlier', 'intended', 'got', 'heathrow', 'minutes', 'early', 'however', 'heathrow', 'plane', 'way', 'arrived', 'early', 'negative', 'checkin', 'partly', 'website', '’', 's', 'fault', 'done', 'online', 'check', 'selected', 'amount', 'bags', 'said', 'would', 'pay', 'extra', 'spent', 'forever', 'checkin', 'pay', '£', 'bag', 'apart', 'negatives', 'delay', 'would', 'definitely', 'fly', 'airline']"
563,"['johannesburg', 'london', 'whoever', 'designed', 'refurbished', 'galleries', 'lounge', 'jnb', 'understanding', 'acoustics', 'every', 'syllable', 'facetime', 'conversation', 'audible', 'feet', 'away', 'add', 'different', 'languages', 'degree', 'inebriation', 'recipe', 'unrelaxing', 'experience', 'thankfully', 'upper', 'deck', 'a', 'civilised', 'efficient', 'slightly', 'distant', 'cabin', 'crew', 'ensured', 'everyone', 'fed', 'watered', 'hours', 'takeoff', 'allowing', 'plenty', 'time', 'sleep', 'food', 'mediocre', 'ive', 'given', 'expecting', 'anything', 'bas', 'business', 'class', 'product', 'white', 'company', 'bedding', 'gimmick', 'genuine', 'enhancement', 'breakfast', 'become', 'rather', 'perfunctory', 'pastries', 'bread', 'apart', 'solitary', 'croissant', 'arrival', 'chilly', 'lhr', 'ahead', 'schedule', 'curbside', 'minutes', 'landing', 'reliability', 'currently', 'bas', 'strongest', 'card']"
564,"['las', 'vegas', 'gatwick', 'disappointing', 'service', 'club', 'world', 'felt', 'like', 'travelling', 'economy', 'attitude', 'especially', 'considering', 'high', 'cost', 'flight', 'ive', 'paid', 'half', 'much', 'less', 'business', 'class', 'returns', 'australia', 'got', 'bad', 'start', 'offered', 'one', 'third', 'glass', 'champagne', 'cm', 'bottom', 'glass', 'initial', 'drink', 'take', 'ordered', 'queried', 'got', 'lecture', 'wine', 'arrived', 'dinner', 'asked', 'second', 'time', 'stock', 'first', 'choice', 'second', 'glass', 'wine', 'offered', 'yes', 'could', 'used', 'call', 'button', 'glass', 'champagne', 'one', 'glass', 'wine', 'offered', 'hour', 'business', 'class', 'flight', 'initial', 'bottle', 'water', 'glass', 'water', 'dinner', 'water', 'offered', 'got', 'went', 'galley', 'ask', 'good', 'news', 'food', 'good', 'well', 'presented', 'although', 'promised', 'menu', 'selection', 'pastries', 'breakfast', 'served', 'later', 'walked', 'past', 'galley', 'see', 'crew', 'eating', 'breakfast', 'dutifully', 'filled', 'preorder', 'card', 'breakfast', 'find', 'asked', 'breakfast', 'sleeping', 'impossible', 'due', 'temperature', 'high', 'actually', 'thought', 'fever', 'drenched', 'sweat', 'spoke', 'colleague', 'im', 'used', 'flying', 'ultra', 'long', 'haul', 'middle', 'eastern', 'airlines', 'im', 'used', 'hot', 'cabins', 'crazy', 'crew', 'dropped', 'temperature', 'hours', 'landing', 'presumably', 'wake', 'us', 'bearable', 'enough', 'sleep', 'combined', 'dry', 'cabin', 'air', 'unpleasant', 'need', 'say', 'anything', 'much', 'eight', 'across', 'seating', 'know', 'seats', 'upgraded', 'next', 'years', 'cramped', 'sitting', 'next', 'window', 'like', 'semireclined', 'position', 'take', 'landing', 'though', 'fairly', 'big', 'shoulders', 'found', 'seat', 'width', 'restrictive', 'nowhere', 'put', 'spectacles', 'bottles', 'water', 'lying', 'second', 'aisle', 'join', 'economy', 'passengers', 'queuing', 'disembark', 'wasnt', 'quick', 'point', 'member', 'cabin', 'crew', 'introduce', 'via', 'general', 'pa', 'announcement', 'seats', 'forgive', 'addressed', 'service', 'budget', 'airline', 'level', 'really', 'ba', 'need', 'much', 'much', 'better', 'ground', 'staff', 'las', 'vegas', 'fast', 'friendly', 'efficient', 'lounge', 'something', 'dark', 'ages', 's', 'wooden', 'panels']"
565,"['san', 'diego', 'stockholm', 'via', 'london', 'written', 'review', 'immediately', 'landing', 'would', 'zero', 'ten', 'realise', 'would', 'unfair', 'ba', 'game', 'two', 'halves', 'inflight', 'experience', 'immeasurably', 'improved', 'years', 'ago', 'food', 'club', 'excellent', 'cabin', 'crew', 'attentive', 'professional', 'pilots', 'best', 'industry', 'ife', 'absolutely', 'fine', 'club', 'world', 'product', 'competitive', 'better', 'european', 'airlines', 'lufthansa', 'streets', 'ahead', 'us', 'carriers', 'problems', 'start', 'anything', 'goes', 'wrong', 'frequently', 'given', 'mostly', 'old', 'fleet', 'especially', 'noncore', 'routes', 'case', 'flight', 'cancelled', 'due', 'inbound', 'aircraft', 'ancient', 'going', 'technical', 'comedy', 'errors', 'first', 'hotel', 'vouchers', 'said', '‘', 'holiday', 'inn', '’', 'san', 'diego', 'cue', 'hordes', 'passengers', 'looking', 'shuttle', 'buses', 'wrong', 'place', 'arriving', 'hotels', 'booking', 'etc', 'etc', 'next', 'replacement', 'flights', 'clunky', 'app', 'kept', 'saying', 'error', 'reason', 'eventually', 'full', 'website', 'pc', 'showed', 'replacement', 'flights', 'booking', 'refs', 'statement', 'offered', 'confirmed', 'whatever', 'calling', 'ba', 'wouldn', '’', 't', 'talk', '‘', 'failed', '’', 'security', 'didn', '’', 't', 'know', 'billing', 'address', 'specific', 'booking', 'done', 'company', '’', 's', 'travel', 'department', 'despite', 'full', 'executive', 'club', 'account', 'associated', 'booking', 'could', 'used', 'next', 'day', 'went', 'take', 'replacement', 'flights', 'alaska', 'airlines', 'newark', 'sas', 'stockholm', 'despite', 'getting', 'boarding', 'card', 'making', 'seat', 'plane', 'pulled', 'minutes', 'takeoff', 'ba', 'paid', 'flight', 'reservation', 'created', 'ticket', 'issued', 'ba', 'booked', 'roundabout', 'route', 'back', 'via', 'chicago', 'plus', 'hour', 'layover', 'am', 'pm', 'getting', 'home', 'hours', 'original', 'reservation', 'later', 'spotted', 'next', 'ba', 'flight', 'would', 'get', 'home', 'much', 'sooner', 'tickets', 'available', 'online', 'called', 'explanation', 'agreed', '‘', 'exceptionally', '’', 'change', 'flight', 'complained', 'finally', 'arrived', 'home', 'hour', 'delay', 'roller', 'coaster', 'incompetence', 'summary', 'goes', 'well', 'ba', 'better', 'staff', 'heroic', 'inflight', 'job', 'old', 'planes', 'rubbish', 'back', 'office', 'infrastructure', 'plain', 'incompetence', 'mean', 'airline', 'hell', 'anything', 'goes', 'wrong', 'bear', 'mind', 'travelling', 'business', 'class', 'knows', 'treat', 'economy', 'passengers']"
566,"['verified', 'cape', 'town', 'johannesburg', 'slow', 'lounge', 'cape', 'town', 'continues', 'impress', 'standard', 'service', 'generous', 'array', 'food', 'drink', 'including', 'ingenious', 'winedispensing', 'machines', 'boarding', 'quick', 'takeoff', 'exactly', 'time', 'turbulence', 'captain', 'kept', 'passengers', 'well', 'informed', 'club', 'meal', 'usual', 'offering', 'hot', 'options', 'displayed', 'tray', 'arrival', 'minutes', 'ahead', 'schedule']"
567,"['th', 'december', 'flights', 'departure', 'got', 'purse', 'stolen', 'nyc', 'money', 'passport', 'thanks', 'kind', 'strangers', 'managed', 'get', 'danish', 'embassy', 'get', 'temporary', 'passport', 'arrived', 'jfk', 'airport', 'late', 'wasnt', 'allowed', 'drop', 'luggage', 'tears', 'eyes', 'went', 'desk', 'sell', 'tickets', 'employee', 'kind', 'helpful', 'booked', 'next', 'flight', 'free', 'got', 'security', 'without', 'wait', 'line', 'informed', 'flight', 'crew', 'happened', 'finally', 'sat', 'flight', 'crew', 'kind', 'gave', 'water', 'food', 'havent', 'food', 'whole', 'day', 'didnt', 'money', 'want', 'say', 'thank', 'service', 'kindness', 'making', 'sure', 'got', 'back', 'denmark', 'safely', 'overwhelmed', 'kindness', 'staff', 'thank']"
568,"['phoenix', 'london', 'since', 'moving', 'usa', 'ive', 'flying', 'ba', 'past', 'overall', 'provide', 'acceptable', 'service', 'choose', 'seat', 'club', 'world', 'carefully', 'crew', 'right', 'mood', 'surpass', 'expectations', 'new', 'menus', 'service', 'offering', 'significantly', 'better', 'past', 'wine', 'list', 'interesting', 'flight', 'crew', 'engaging', 'food', 'good', 'departed', 'phx', 'early', 'arrived', 'lhr', 'early', 'immigration', 'baggage', 'took', 'minutes', 'manage', 'expectations', 'ba', 'wont', 'disappointed', 'club', 'world']"
569,"['london', 'heathrow', 'bangkok', 'done', 'route', 'times', 'british', 'airways', 'years', 'first', 'time', 'probably', 'last', 'economy', 'old', 'plane', 'needs', 'upgrade', 'poor', 'entertainment', 'system', 'uncomfortable', 'seats', 'especially', 'hour', 'flight', 'know', 'they', '’', 're', 'starting', 'upgrade', 'planes', 'still', 'long', 'time', 'away', 'saving', 'grace', 'superb', 'cabin', 'staff', 'economy']"
570,"['mumbai', 'boston', 'via', 'london', 'flight', 'british', 'airways', 'really', 'good', 'catering', 'excellent', 'flights', 'even', 'service', 'good', 'however', 'seats', 'limited', 'legroom', 'due', 'ife', 'box', 'blocking', 'space', 'front', 'also', 'ba', 'misplaced', 'tennis', 'racket', 'checked', 'really', 'weird', 'policy', 'cant', 'carry', 'single', 'sports', 'equipment', 'cabin', 'baggage', 'instead', 'check', 'ground', 'staff', 'rude', 'logan', 'airport', 'boston', 'also', 'took', 'week', 'deliver', 'racket', 'house', 'even', 'though', 'arrived', 'boston', 'hrs', 'come', 'even', 'contacting', 'bas', 'baggage', 'customer', 'service', 'speaking', 'rudely', 'always', 'tried', 'cut', 'call', 'like', 'minutes', 'without', 'even', 'listening', 'concern', 'british', 'airways', 'needs', 'improve', 'ground', 'experience']"
571,"['purchased', 'roundtrip', 'tickets', 'wife', 'travel', 'orlando', 'florida', 'accra', 'ghana', 'purchased', 'advance', 'seat', 'assignments', 'unfortunately', 'british', 'airways', 'gave', 'seats', 'paid', 'one', 'four', 'international', 'legs', 'roundtrip', 'fighting', 'british', 'airways', 'get', 'refund', 'seat', 'assignments', 'provided', 'refund', 'despite', 'several', 'phone', 'calls', 'filing', 'multiple', 'online', 'calls', 'providing', 'detailed', 'fightcontinues', 'customer', 'service', 'really', 'poor', 'never', 'purchase', 'advance', 'seat', 'assignments']"
572,"['toronto', 'geneva', 'via', 'london', 'stopped', 'flying', 'ba', 'three', 'years', 'ago', 'dramatically', 'downgraded', 'service', 'apparently', 'things', 'improved', 'somewhat', 'since', 'decided', 'give', 'another', 'try', 'overall', 'happy', 'experience', 'save', 'two', 'major', 'gripes', 'plus', 'side', 'flew', 'new', 'aircraft', 'comfortable', 'albeit', 'usual', 'narrow', 'seats', 'modern', 'aircraft', 'airlines', 'legroom', 'generous', 'seemed', 'official', 'pilots', 'good', 'informative', 'always', 'ba', 'quality', 'food', 'longhaul', 'definitely', 'improved', 'since', 'bad', 'old', 'days', 'soggy', 'pasta', 'droopy', 'sandwiches', 'rather', 'enjoyed', 'meals', 'served', 'nice', 'large', 'trays', 'ife', 'adequate', 'though', 'surprisingly', 'dated', 'new', 'aircraft', 'cathay', 'pacifics', 'far', 'superior', 'two', 'major', 'downsides', 'new', 'basic', 'economy', 'fare', 'really', 'pesky', 'serves', 'disgruntle', 'passengers', 'ba', 'really', 'need', 'get', 'rid', 'virtually', 'everyone', 'longhaul', 'check', 'bag', 'please', 'include', 'airfare', 'types', 'wanted', 'nickleanddimed', 'id', 'fly', 'gatwick', 'charter', 'airline', 'also', 'able', 'choose', 'seat', 'even', 'time', 'checkin', 'infuriating', 'automatically', 'allocated', 'middle', 'seat', 'even', 'though', 'entire', 'rear', 'half', 'plane', 'empty', 'goes', 'show', 'get', 'middle', 'seat', 'unless', 'pay', 'thankfully', 'lady', 'checkin', 'changed', 'window', 'seat', 'free', 'charge', 'asked', 'nicely', 'complimentary', 'catering', 'shorthaul', 'seeing', 'virtually', 'passengers', 'flying', 'tofrom', 'heathrow', 'connecting', 'tofrom', 'longhaul', 'flights', 'ba', 'spent', 'least', 'airfare', 'resented', 'drink', 'snack', 'included', 'shorthaul', 'segment', 'trip', 'ba', 'treating', 'connecting', 'passengers', 'lowcost', 'airlines', 'paid', 'dollars', 'short', 'trip', 'ba', 'would', 'get', 'rid', 'two', 'new', 'features', 'would', 'hesitate', 'fly', 'everything', 'else', 'trip', 'pleasant', 'would', 'still', 'consider', 'airlines']"
573,"['hong', 'kong', 'london', 'heathrow', 'british', 'airways', 'one', 'best', 'flights', 'i', '’', 've', 'premium', 'cabin', 'service', 'seat', 'food', 'wine', 'among', 'best', 'i', '’', 've', 'experienced', 'gripe', 'cabin', 'temperature', 'quite', 'warm', 'sleeping', 'quite', 'impossible', 'first', 'even', 'pyjamas', 'provided', 'ba', 'cabin', 'attendant', 'bed', 'nice', 'touch', 'would', 'hesitate', 'flying', 'first', 'class', 'ba', 'next', 'flight']"
574,"['san', 'jose', 'amsterdam', 'via', 'london', 'layout', 'boeing', 'cabin', 'poor', 'rearmost', 'seat', 'luggage', 'bins', 'row', 'e', 'f', 'addition', 'crew', 'fill', 'bins', 'outer', 'seats', 'row', 'k', 'j', 'bags', 'blankets', 'would', 'recommend', 'ba']"
575,"['singapore', 'paris', 'via', 'london', 'flight', 'ok', 'dated', 'seating', 'shakey', 'arms', 'comfortable', 'serviceable', 'experience', 'however', 'luggage', 'loaded', 'onto', 'flight', 'second', 'time', 'happened', 'ba', 'despite', 'hour', 'flight', 'hour', 'stopover', 'hour', 'flight', 'paris', 'ba', 'make', 'effort', 'inform', 'us', 'time', 'issue', 'instead', 'travelling', 'around', 'hours', 'wait', 'baggage', 'come', 'clear', 'realised', 'missing', 'sunday', 'shops', 'close', 'lunchtime', 'also', 'left', 'little', 'time', 'buy', 'emergency', 'items', 'despite', 'knowing', 'hadn', '’', 't', 'loaded', 'baggage', 'could', 'find', 'way', 'send', 'quicker', 'hours', 'arrival', 'meaning', 'days', 'paris', 'spent', 'without', 'luggage']"
576,"['warsaw', 'london', 'everything', 'went', 'like', 'clockwork', 'nothing', 'could', 'disliked', 'flight', 'professional', 'crew', 'beams', 'faces', 'new', 'aircraft', 'important', 'choose', 'seat', 'row', 'aneo', 'seats', 'old', 'type', 'pinnacle', 'seats', 'better', 'legroom', 'informative', 'captain', 'told', 'us', 'expected', 'turbulence', 'taken', 'much', 'appreciated', 'time', 'landing', 'good', 'atmosphere', 'board', 'food', 'euro', 'traveller', 'unfortunately', 'longer', 'free', 'however', 'bas', 'executive', 'club', 'pay', 'food', 'drinks', 'avios', 'convenient', 'drawback', 'could', 'find', 'long', 'queue', 'bag', 'checkin', 'warsaw', 'airport', 'opened', 'checkin', 'counters', 'approx', 'people', 'rather', 'enough']"
577,"['verified', 'new', 'york', 'london', 'heathrow', 'good', 'staff', 'nice', 'comfortable', 'seats', 'seat', 'recline', 'good', 'enough', 'food', 'bit', 'limited', 'would', 'recommend', 'ba', 'others', 'since', 'good', 'airline']"
578,"['verified', 'london', 'los', 'angeles', 'take', 'delayed', 'hrs', 'spent', 'onboard', 'dent', 'door', 'needed', 'inspection', 'sure', 'maybe', 'outside', 'control', 'flying', 'wife', 'two', 'kids', 'sitting', 'bulkhead', 'seats', 'using', 'baby', 'bassinet', 'facility', 'take', 'saw', 'inflight', 'entertainment', 'service', 'whole', 'section', 'whole', 'cabin', 'working', 'sitting', 'hr', 'overnight', 'flight', 'two', 'little', 'ones', 'meaning', 'sleeping', 'going', 'happen', 'contacted', 'cabin', 'crew', 'made', 'zero', 'accommodation', 'sorry', 'said', 'flight', 'cabin', 'crew', 'stood', 'galley', 'behind', 'bulkhead', 'talking', 'loudly', 'lights', 'dimmed', 'kept', 'slamming', 'drawers', 'moved', 'things', 'around', 'cap', 'landed', 'pm', 'et', 'left', 'behind', 'baby', 'car', 'seat', 'stroller', 'finally', 'received', 'back', 'days', 'later', 'conclusion', 'never', 'fly', 'ba']"
579,"['verified', 'british', 'airways', 'comair', 'johannesburg', 'cape', 'town', 'route', 'never', 'less', 'fully', 'subscribed', 'occasion', 'equivalent', 'club', 'europe', 'stretched', 'back', 'rows', 'service', 'followed', 'usual', 'pattern', 'drink', 'champagne', 'included', 'comair', '’', 's', 'idiosyncratic', '‘', 'fourcourse', 'meal', '’', 'ie', 'tiny', 'salad', 'hot', 'course', 'one', 'could', 'see', 'choosing', 'minute', 'iced', 'cake', 'minuscule', 'cheese', 'biscuits', 'hot', 'meal', 'invariably', 'scorched', 'around', 'edges', 'comair', 'really', 'need', 'move', 'times', 'modern', 'business', 'class', 'offering', 'aside', 'meal', 'flight', 'typically', 'efficient', 'arrival', 'slightly', 'ahead', 'schedule']"
580,"['london', 'bangkok', 'used', 'importantly', 'deliver', 'promises', 'longer', 'disappointing', 'food', 'outdated', 'uncomfortable', 'seats', 'appalling', 'baggage', 'handling', 'lhr', 'mediocre', 'crew', 'service', 'onboard', 'customer', 'service', 'online', 'bad', 'recent', 'experience', 'early', 'january', 'put', 'next', 'couple', 'newborn', 'baby', 'club', 'world', 'overnight', 'flight', 'lhr', 'bkk', 'baby', 'screams', 'could', 'sleep', 'cabin', 'full', 'could', 'move', 'couple', 'nice', 'apologetic', 'bear', 'hours', 'long', 'haul', 'flight', 'together', 'however', 'dealings', 'customer', 'service', 'appalling', 'ba', 'going', 'offer', 'kids', 'free', 'zone', 'club', 'world', 'people', 'need', 'work', 'sleep']"
581,"['verified', 'london', 'johannesburg', 'departure', 'slightly', 'delayed', 'mph', 'gusts', 'away', 'flight', 'usual', 'comfortable', 'experience', 'upper', 'deck', 'seats', 'jk', 'best', 'long', 'galley', 'quiet', 'dinner', 'service', 'efficient', 'ready', 'sleep', 'film', 'cabin', 'crew', 'pleasant', 'attentive', 'toilets', 'kept', 'clean', 'throughout', 'flight', 'arrival', 'minutes', 'behind', 'time', 'baggage', 'collection', 'customs', 'mercifully', 'quick', 'slow', 'lounge', 'minutes', 'landing', 'overall', 'good', 'flight']"
582,"['overall', 'comfortable', 'flight', 'british', 'airways', 'flights', 'took', 'time', 'reached', 'time', 'really', 'excited', 'fly', 'ba', 'since', 'changed', 'aircraft', 'boeing', 'boeing', 'known', 'queen', 'skies', 'flight', 'attendants', 'nice', 'professional', 'towards', 'passengers', 'best', 'speed', 'boarding', 'process', 'since', 'flights', 'full', 'took', 'everything', 'went', 'well', 'first', 'flight', 'also', 'flight', 'time', 'went', 'short', 'atlantic', 'due', 'great', 'tail', 'winds', 'second', 'flight', 'mumbai', 'flight', 'attendants', 'polite', 'respectful', 'gave', 'best', 'service', 'however', 'lunch', 'service', 'ran', 'vegetarian', 'food', 'option', 'fetch', 'vegetarian', 'food', 'cabins', 'even', 'give', 'crew', 'meals', 'passengers', 'vegetarian', 'overall', 'flights', 'ba', 'good', 'shortcomings', 'older', 'fleet', 'like', 'lack', 'usb', 'ports', 'power', 'outlet', 'old', 'ife', 'ife', 'box', 'front', 'blocks', 'legroom', 'ba', 'need', 'refurbish', 'old', 'cabins', 'boeing', 'boeing', 'if', 'still', 'plan', 'use', 'longer', 'flights']"
583,"['los', 'angeles', 'london', 'th', 'january', 'husbands', 'seat', 'broken', 'customer', 'service', 'manager', 'rude', 'made', 'insinuations', 'intentions', 'dreadful', 'way', 'end', 'honeymoon', 'left', 'bitter', 'taste', 'truly', 'horrendous', 'experience']"
584,"['gatwick', 'cancun', 'flight', 'late', 'food', 'bad', 'possible', 'change', 'paid', 'internet', 'work', 'time', 'advised', 'report', 'instructions']"
585,"['fantastic', 'flight', 'travelled', 'solo', 'london', 'gatwick', 'glasgow', 'british', 'airway', '’', 's', 'club', 'europe', 'cabin', 'could', 'fault', 'one', 'aspect', 'service', 'arrived', 'gatwick', 'around', 'hours', 'prior', 'departure', 'ba', 'club', 'world', 'passengers', 'entitled', 'fast', 'track', 'security', 'gatwick', 'quick', 'staff', 'pleasant', 'enough', 'lounge', 'gatwick', 'clean', 'modern', 'made', 'nice', 'relaxing', 'start', 'journey', 'boarding', 'quick', 'flight', 'departed', 'ontime', 'landed', 'minutes', 'early', 'crew', 'attentive', 'friendly', 'inflight', 'meal', 'delicious', 'smoked', 'salmon', 'served', 'curried', 'rice', 'overall', 'really', 'lovely', 'flying', 'experience', 'eversoslightly', 'leg', 'room', 'inflight', 'entertainment', 'i', '’', 'd', 'given', 'flight', 'fantastic', 'crew', 'credit', 'airline']"
586,"['rio', 'de', 'janeiro', 'london', 'heathrow', 'love', 'aircraft', 'class', 'business', 'world', 'traveller', 'plus', 'economy', 'class', 'cabins', 'business', 'class', 'front', 'rows', 'rear', 'rows', 'seat', 'a', 'opinion', 'seat', 'window', 'seat', 'bit', 'space', 'usual', 'seat', 'little', 'extra', 'helps', 'private', 'tucked', 'behind', 'second', 'galley', 'area', 'toilet', 'side', 'jk', 'settled', 'sleep', 'evening', 'meal', 'crew', 'accommodating', 'offered', 'water', 'bottles', 'immediately', 'good', 'hours', 'sleep', 'normal', 'woke', 'minutes', 'breakfast', 'really', 'enjoyed', 'fruit', 'yoghurt', 'muesli', 'full', 'english', 'breakfast', 'great', 'service', 'good', 'flight', 'felt', 'fully', 'relaxed']"
